ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Begrenzer Kraftstoffmenge
Addr: 0x07BB9E
Size: 16x14
Unit: mm3/Stk
RPM|hPa;500;600;700;800;900;1000;1100;1200;1400;1600;1800;2000;2200;2400
800;18,30;21,10;24,50;26,40;28,50;30,00;33,20;36,87;39,60;43,80;46,67;51,70;53,53;56,10
900;18,80;21,60;25,10;26,40;28,80;30,70;33,15;38,17;42,73;46,93;49,93;52,35;54,71;58,50
1000;19,00;22,00;25,40;26,50;28,95;30,70;33,20;38,34;43,30;47,43;51,03;53,55;56,08;58,12
1100;19,00;22,00;25,00;26,30;29,20;30,80;32,80;38,15;43,50;48,93;51,60;54,27;56,10;58,30
1200;19,70;22,30;25,00;27,80;29,70;31,70;32,90;38,30;43,20;49,22;52,98;54,20;56,13;58,90
1300;21,00;23,20;24,90;27,70;29,80;31,00;33,00;37,00;43,00;49,50;54,17;56,07;57,50;60,10
1400;21,20;23,40;24,70;27,90;29,70;31,00;32,70;36,50;43,00;48,50;54,60;57,73;59,00;61,50
1500;21,20;23,20;24,60;28,10;30,00;31,20;33,20;36,70;42,10;48,39;54,80;58,65;60,10;62,80
1750;21,20;23,20;25,20;28,30;30,70;32,10;34,60;36,90;41,60;47,07;53,50;58,31;62,10;66,30
2000;23,30;25,30;26,80;29,30;30,80;32,10;35,00;37,41;40,57;45,60;52,30;56,76;60,80;67,70
2500;22,80;24,80;26,60;29,00;30,60;32,00;35,00;36,50;39,00;44,04;49,60;53,20;57,97;64,97
3000;22,70;24,70;26,30;28,50;30,48;32,13;35,49;36,98;39,25;43,37;48,00;52,78;57,50;62,69
3500;21,30;23,30;25,90;28,30;30,48;32,33;35,34;37,47;39,17;43,41;47,60;51,71;54,40;60,23
4000;21,30;23,30;25,20;27,30;29,30;31,88;35,18;37,55;39,59;43,84;48,02;50,82;53,32;59,66
4500;21,40;23,40;24,40;26,70;28,60;30,89;33,95;37,15;39,63;43,73;47,49;50,17;51,93;57,67
5400;19,00;21,00;22,10;24,30;26,72;28,21;32,37;35,73;40,16;43,46;47,47;48,97;49,97;54,43
