ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Eingespritzte Kraftstoffmenge f(RPM,Drehmoment) #2
Addr: 0x055C5C
Size: 16x16
Unit: mm3/Stk
RPM|Nm;0,0;25,0;50,0;75,0;100,0;125,0;150,0;175,0;200,0;250,0;300,0;350,0;400,0;450,0;500,0;550,0
800;0,00;2,98;5,10;7,14;9,80;12,03;14,47;16,49;19,84;30,56;36,50;42,77;47,15;56,68;65,90;70,75
1000;0,00;2,79;5,09;7,15;9,73;12,10;14,99;17,09;20,09;29,75;35,56;41,61;46,13;54,94;63,95;68,89
1250;0,00;2,77;4,96;7,26;9,65;12,59;15,45;17,64;20,36;28,85;34,52;40,33;45,02;53,04;61,72;66,79
1500;0,00;2,75;4,77;7,37;9,60;12,90;15,72;18,01;20,60;28,07;33,62;39,24;44,10;51,47;59,91;65,06
1750;0,00;2,64;4,64;7,48;9,57;13,06;15,84;18,23;20,80;27,41;32,87;38,33;43,38;50,21;57,96;63,46
2000;0,00;2,40;4,56;7,59;9,57;13,12;15,83;18,33;20,96;26,87;32,26;37,62;42,85;49,27;56,48;62,24
2250;0,00;2,27;4,53;7,70;9,60;13,09;15,74;18,33;21,07;26,46;31,80;37,10;42,51;48,65;55,48;61,40
2500;0,00;2,24;4,56;7,81;9,64;13,01;15,60;18,27;21,15;26,16;31,49;36,77;42,36;48,35;54,97;60,93
2750;0,00;2,30;4,63;7,93;9,72;12,90;15,43;18,17;21,19;25,99;31,32;36,63;42,41;48,36;54,93;60,84
3000;0,00;2,47;4,76;8,04;9,82;12,81;15,27;18,07;21,18;25,95;31,30;36,68;42,65;48,70;55,37;61,11
3250;0,00;2,73;4,95;8,15;9,94;12,75;15,16;17,99;21,14;26,02;31,43;36,92;43,08;49,35;56,29;61,77
3500;0,00;3,10;5,18;8,27;10,09;12,76;15,12;17,97;21,06;26,21;31,70;37,35;43,71;50,32;57,69;62,79
3750;0,00;3,56;5,46;8,39;10,26;12,86;15,20;18,03;20,94;26,53;32,12;37,97;44,52;51,61;59,57;64,20
4000;0,00;4,13;5,80;8,50;10,46;13,10;15,41;18,21;20,77;26,97;32,68;38,77;45,53;53,22;61,92;65,98
4250;0,00;4,79;6,19;8,62;10,68;13,49;15,80;18,53;20,57;27,53;33,39;39,77;46,74;55,15;64,76;68,13
4400;0,00;5,24;6,45;8,69;10,83;13,82;16,14;18,80;20,43;27,92;33,89;40,46;47,55;56,46;66,69;69,61
