ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 2 #4
Addr: 0x031C22
Size: 13x10
Unit: deg BTDC
RPM|mm3/Stk;0,00;5,00;7,50;12,50;17,50;25,00;30,00;40,00;50,00;60,00
900;-3,21;-3,21;-3,21;-2,13;-1,08;-1,08;0,00;1,08;3,21;3,21
1000;-2,13;-2,13;-3,21;-2,13;-1,08;-1,08;0,00;1,08;3,21;3,21
1250;-1,08;-1,08;-1,08;-1,08;-1,08;0,00;0,00;1,08;4,27;4,27
1500;0,54;0,54;0,54;0,54;0,54;0,54;2,13;2,13;2,13;4,27
1750;1,08;1,08;1,08;1,08;1,08;1,08;2,13;2,13;2,13;6,94
2000;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;3,73;8,53
2250;3,21;3,21;3,21;3,21;3,21;3,21;3,21;3,21;4,80;10,15
2500;3,73;3,73;3,73;3,73;3,73;3,73;3,73;3,73;7,48;14,41
3000;4,27;4,27;4,27;4,27;4,27;5,34;7,48;9,61;14,39;18,14
3500;6,40;6,40;6,40;7,48;8,53;9,61;10,66;13,31;18,14;21,33
4000;8,53;8,53;8,53;10,12;11,23;12,82;14,41;17,60;23,48;23,48
4500;11,20;11,20;11,20;12,80;14,39;16,01;18,14;20,79;27,75;27,75
5000;14,39;14,39;14,39;16,01;17,60;19,48;21,87;25,08;29,88;29,88
