ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 2 #6
Addr: 0x031E9C
Size: 12x7
Unit: deg BTDC
RPM|mm3/Stk;15,00;20,00;25,00;30,00;40,00;50,00;60,00
800;3,21;3,21;3,21;3,21;3,21;3,21;3,21
1000;3,21;4,27;4,27;4,27;4,27;4,27;4,27
1500;3,21;4,27;4,27;4,27;4,27;4,27;4,27
1750;4,27;4,27;4,27;4,27;4,27;4,27;4,80
2000;5,86;5,86;5,86;5,86;5,86;5,86;5,88
2250;7,48;7,48;7,48;7,48;7,48;7,48;8,01
2500;8,53;8,53;8,53;8,53;8,53;8,53;11,20
3000;9,61;9,61;9,61;9,61;9,61;11,74;14,39
3500;10,66;10,66;10,66;10,66;13,33;15,47;17,60
4000;11,74;11,74;12,82;14,41;17,60;19,19;19,19
4400;12,80;13,87;15,47;17,60;20,79;21,87;21,87
5000;16,01;18,14;19,19;21,33;25,08;26,13;26,13
