ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 4
Addr: 0x031626
Size: 11x10
Unit: deg BTDC
RPM|mm3/Stk;2,00;5,00;7,50;10,00;15,00;20,00;30,00;40,00;50,00;60,00
1000;-3,21;-3,21;-4,27;-4,29;-4,29;-3,21;-2,13;-2,13;-2,13;3,21
1500;-1,08;-1,08;-3,21;-4,29;-4,29;-3,21;-2,13;-2,13;-2,13;4,27
2000;-0,54;-0,54;-1,59;-2,67;-3,21;-3,21;0,00;1,08;5,34;5,86
2500;1,08;1,08;-1,08;-2,13;-2,13;-2,13;2,13;4,27;8,53;10,66
3250;1,08;2,67;6,94;6,94;6,94;7,99;7,99;10,66;13,87;18,14
3500;1,05;4,27;8,53;8,53;9,09;9,87;10,99;13,31;16,01;20,27
3750;2,13;5,34;9,61;9,61;10,92;12,23;13,87;16,01;20,27;22,40
4000;3,21;6,40;10,66;10,66;12,80;14,93;16,55;18,65;24,54;24,54
4200;4,27;7,48;11,74;11,74;14,39;17,06;19,19;22,40;27,72;27,72
4500;5,86;9,07;13,33;13,33;16,01;20,27;22,64;26,67;29,86;29,86
5000;8,51;11,72;15,98;15,98;19,19;24,54;27,72;29,86;31,99;31,99
