ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Ladedruck Begrenzer f(APS)
Addr: 0x068582
Size: 16x10
Unit: hPa
RPM|hPa;600;650;700;750;800;850;900;930;940;950
600;1500;1600;1600;1600;1600;1600;1600;1600;1600;1600
1000;1555;1655;1721;1742;1748;1752;1752;1752;1752;1752
1250;1609;1709;1812;1871;1865;1860;1860;1860;1860;1860
1500;1650;1750;1850;1950;1950;1950;1950;1950;1950;1950
1750;1650;1800;1900;2000;2135;2235;2255;2255;2255;2255
2000;1635;1825;1930;2045;2155;2220;2300;2315;2330;2350
2250;1635;1830;1940;2055;2155;2200;2300;2315;2330;2350
2500;1620;1840;1940;2055;2127;2200;2300;2315;2330;2350
2750;1620;1808;1910;2045;2080;2150;2286;2315;2330;2350
3000;1560;1728;1839;2000;2040;2123;2267;2315;2330;2350
3500;1450;1598;1717;1865;1927;2027;2170;2200;2250;2300
4000;1340;1468;1582;1735;1760;1890;1960;1980;2000;2180
4200;1276;1381;1499;1676;1716;1852;1921;1928;1940;2133
4500;1206;1316;1441;1595;1670;1790;1860;1875;1890;2040
4800;1114;1227;1381;1565;1616;1688;1755;1800;1830;1850
5400;930;1071;1256;1415;1505;1585;1685;1720;1750;1750
