ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Rauchbegrenzer - untere Grenze Lambda #1
Addr: 0x07BDFC
Size: 16x16
Unit: Lambda
RPM|mg/Stk;0,0;10,0;20,0;50,0;80,0;100,0;150,0;200,0;300,0;400,0;500,0;750,0;1000,0;1500,0;2000,0;2500,0
100;0,891;0,922;0,957;1,001;1,039;1,074;1,094;1,099;1,099;1,099;1,099;1,099;1,099;1,099;1,099;1,099
200;0,889;0,921;0,959;1,004;1,039;1,074;1,094;1,099;1,099;1,099;1,099;1,099;1,099;1,099;1,099;1,099
350;0,895;0,931;0,961;1,004;1,029;1,060;1,080;1,095;1,100;1,100;1,100;1,100;1,100;1,100;1,100;1,100
500;0,903;0,945;0,965;0,998;1,020;1,042;1,066;1,086;1,106;1,106;1,106;1,106;1,106;1,106;1,106;1,106
650;0,860;0,884;0,900;0,927;0,951;0,969;0,982;0,989;0,989;0,989;0,989;0,989;0,989;0,989;0,989;0,989
800;0,850;0,877;0,893;0,910;0,926;0,937;0,953;0,966;0,987;0,992;0,992;0,992;0,992;0,992;0,992;0,992
1000;0,862;0,891;0,914;0,934;0,950;0,964;0,979;0,991;1,018;1,018;1,018;1,018;1,018;1,018;1,018;1,018
1250;0,870;0,914;0,947;0,975;0,998;1,019;1,032;1,041;1,062;1,047;1,047;1,047;1,047;1,047;1,047;1,047
1500;0,878;0,941;0,985;1,026;1,060;1,079;1,096;1,106;1,120;1,075;1,075;1,075;1,075;1,075;1,075;1,075
2000;0,926;0,974;1,008;1,046;1,081;1,107;1,126;1,145;1,172;1,107;1,082;1,082;1,082;1,082;1,082;1,082
2500;0,969;1,031;1,082;1,120;1,144;1,168;1,184;1,195;1,213;1,153;1,083;1,083;1,083;1,083;1,083;1,083
3000;1,123;1,147;1,161;1,186;1,217;1,239;1,246;1,246;1,248;1,208;1,118;1,118;1,118;1,118;1,118;1,118
3500;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280
4000;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280
5000;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280
6000;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280;1,280
