ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 1 #2
Addr: 0x02EC4C
Size: 16x12
Unit: deg BTDC
RPM|mm3/Stk;0,00;4,00;8,00;10,00;15,00;20,00;25,00;30,00;35,00;45,00;50,00;60,00
980;-3,16;-5,30;-6,37;-6,40;-4,27;-2,11;1,08;3,21;3,21;3,21;3,21;3,21
1000;-3,16;-5,30;-6,37;-5,30;-4,27;-1,08;1,08;3,21;3,21;3,21;3,21;3,21
1250;-3,19;-5,32;-5,32;-4,27;-2,13;-1,08;-1,08;1,03;2,13;3,21;4,27;4,27
1500;-2,65;-4,78;-4,78;-3,19;-2,13;-1,05;-1,08;1,08;1,62;3,21;4,27;4,27
1750;-1,59;-3,73;-4,27;-3,21;-1,59;-1,05;0,00;1,08;1,08;2,16;4,27;5,88
2000;0,00;-2,13;-3,21;-2,65;-1,59;-1,05;0,00;1,08;1,08;2,16;4,27;7,48
2250;1,08;0,00;-2,13;-2,13;-1,05;-0,54;0,52;1,62;1,59;3,21;6,40;9,07
2500;2,13;1,08;-1,08;-1,08;-0,52;0,00;1,08;2,13;2,67;4,27;8,53;11,20
2750;3,21;1,62;0,00;0,54;0,00;1,08;2,16;3,21;4,27;6,94;10,12;12,80
3000;4,27;2,70;1,62;1,62;1,59;2,13;3,21;4,29;6,40;9,61;12,26;14,93
3250;5,34;3,75;3,21;3,21;3,73;4,29;4,80;6,94;8,53;11,74;13,87;17,06
3500;6,40;5,34;5,34;5,34;6,40;6,94;7,99;9,61;11,74;12,80;16,01;18,14
3750;6,94;6,94;6,94;6,94;8,53;9,61;11,18;12,80;14,39;16,01;20,27;21,33
4000;8,53;8,53;8,53;8,53;10,12;11,20;12,80;14,39;16,01;20,27;22,40;24,54
4250;9,61;9,61;9,61;9,61;11,20;12,80;14,41;16,01;17,60;22,40;26,67;26,67
4500;11,20;11,20;11,20;11,20;12,80;14,39;16,01;18,14;19,19;24,54;28,80;28,80
