ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 2 #1
Addr: 0x02E554
Size: 16x11
Unit: deg BTDC
RPM|mm3/Stk;0,00;4,00;8,00;10,00;15,00;20,00;25,00;30,00;40,00;50,00;60,00
980;3,21;3,21;3,21;3,21;3,21;3,21;3,21;3,21;3,75;4,27;4,27
1000;3,21;3,21;3,21;3,21;3,21;3,21;3,21;3,21;3,75;4,27;4,27
1250;3,21;3,21;3,21;3,21;3,21;3,21;3,21;3,21;3,75;4,27;4,27
1500;5,34;4,27;3,21;3,21;3,21;3,21;3,21;3,21;3,75;4,27;4,27
1750;9,63;6,42;3,21;3,21;3,21;3,21;3,21;3,21;3,21;4,27;5,34
2000;10,69;6,42;3,21;3,21;3,21;3,21;3,21;3,21;3,21;5,34;6,40
2250;11,76;7,48;4,27;4,27;4,27;4,27;4,27;4,27;4,27;6,40;9,61
2500;12,82;8,55;5,34;5,34;5,34;5,34;5,34;5,34;5,34;7,48;10,66
2750;12,82;9,61;6,40;6,40;6,40;6,40;6,40;6,40;6,94;9,61;14,39
3000;12,82;9,61;6,94;6,94;6,94;7,48;7,99;7,99;8,81;12,80;18,14
3250;12,82;9,61;7,48;7,48;7,48;8,53;9,61;9,61;10,41;13,87;18,14
3500;12,82;10,66;8,53;8,53;9,61;10,12;10,66;11,20;13,08;16,01;20,27
3750;12,82;11,74;9,61;9,61;10,66;12,26;12,80;13,87;15,47;20,27;22,40
4000;13,87;12,80;10,66;10,66;12,80;14,93;16,01;17,06;18,40;24,54;24,54
4250;14,95;13,87;11,74;11,74;14,39;17,06;18,14;19,19;21,61;27,72;27,72
4500;16,55;15,47;13,33;13,33;16,01;20,27;21,33;22,40;25,62;29,86;29,86
