ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 2 #2
Addr: 0x03187C
Size: 12x9
Unit: deg BTDC
RPM|mm3/Stk;5,00;7,50;12,50;17,50;25,00;30,00;40,00;50,00;60,00
1000;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13;2,13
1250;2,13;2,13;2,13;2,13;2,13;2,13;3,21;3,21;3,21
1500;3,21;3,21;3,21;3,21;3,21;3,21;3,21;4,27;4,27
1750;3,73;3,73;3,73;3,73;3,73;3,73;3,73;4,27;4,80
2000;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,80;5,88
2250;5,34;5,34;5,34;5,34;5,34;5,34;5,34;5,86;8,01
2500;6,40;6,40;6,40;6,40;6,40;6,40;6,40;7,99;11,20
3000;7,48;7,48;7,48;7,48;7,48;7,48;9,61;11,74;14,39
3500;10,66;8,53;8,53;8,53;9,61;10,66;13,33;15,47;17,60
4000;11,74;9,61;10,12;11,23;12,82;14,41;21,33;21,33;21,33
4500;12,80;12,80;12,80;14,39;16,01;18,14;24,00;24,00;24,00
5000;14,93;14,93;16,01;17,60;19,48;21,87;28,26;28,26;28,26
