ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 2 #7
Addr: 0x031FD2
Size: 12x7
Unit: deg BTDC
RPM|mm3/Stk;15,00;20,00;25,00;30,00;40,00;50,00;60,00
1000;2,13;2,13;2,13;2,13;2,13;2,13;2,13
1250;2,13;2,13;2,13;2,13;3,21;3,21;3,21
1500;3,21;3,21;3,21;3,21;3,21;4,27;4,27
1750;3,21;3,21;3,21;3,21;3,21;4,27;4,80
2000;3,73;3,73;3,73;3,73;3,73;4,80;5,88
2250;4,27;4,27;4,27;4,27;4,27;5,86;8,01
2500;5,34;5,34;5,34;5,34;5,34;7,99;11,20
3000;6,94;6,94;7,99;7,99;9,61;11,74;14,39
3500;8,53;9,61;9,61;12,80;13,33;15,47;17,60
4000;10,66;12,80;14,93;16,01;17,60;19,19;19,19
4500;11,74;12,80;16,01;19,19;20,79;21,87;21,87
5000;14,95;16,01;19,19;21,33;25,08;26,13;26,13
