ECM Titanium Exported Map
PROJ: Volkswagen_EDC17C46_INTERNAL-FLASH _2025_10_12_11_15_33
DRV : T947_878.DRT
MAP : Einspritzzeitpunkt - Haupteinspritzung Grundkennfeld 3 #2
Addr: 0x031AEC
Size: 13x10
Unit: deg BTDC
RPM|mm3/Stk;0,00;5,00;7,50;12,50;17,50;25,00;30,00;40,00;50,00;60,00
900;2,67;2,67;2,67;3,21;3,21;3,21;3,21;3,21;4,27;4,27
1000;2,67;2,67;2,67;3,21;3,21;3,21;3,21;3,21;4,27;4,27
1250;2,67;2,67;2,67;4,29;4,29;4,29;3,73;3,73;4,27;4,27
1500;2,67;2,67;2,67;4,29;4,29;4,29;3,73;3,73;4,27;4,27
1750;2,67;2,67;2,67;4,29;4,29;4,29;3,73;3,73;4,27;4,80
2000;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,27;4,80;5,88
2250;4,27;4,80;4,80;4,80;4,80;4,80;4,80;4,80;5,86;8,01
2500;4,80;4,80;4,80;4,80;4,80;4,80;4,80;5,34;7,99;11,20
3000;5,34;5,34;5,34;5,34;5,34;5,34;7,48;9,61;11,74;14,39
3500;6,40;6,40;6,40;7,48;8,53;9,61;10,66;13,31;15,47;17,60
4000;8,53;8,53;8,53;10,12;11,23;12,82;14,41;21,33;21,33;21,33
4500;11,20;11,20;11,20;12,80;14,39;16,01;18,14;24,00;24,00;24,00
5000;14,39;14,39;14,39;16,01;17,60;19,48;21,87;28,26;28,26;28,26
